PMID	PMCID	Title	doi	Journal	JournalAbbr	ISSN	PubDate	AltMetric
22275354	PMC3318682	Critical role of N-terminal end-localized nuclear export signal in regulation of activating transcription factor 2 (ATF2) subcellular localization and transcriptional activity.	10.1074/jbc.M111.294272	The Journal of biological chemistry	J Biol Chem	1083-351X	2012-03-09	None
19441127	null	Promoter polymorphisms which modulate BACE1 expression are associated with sporadic Alzheimer's disease.	10.1002/ajmg.b.30968	American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics	Am J Med Genet B Neuropsychiatr Genet	1552-485X	2010-01-05	None
28005991	PMC5179106	Drug Repositioning for Alzheimer's Disease Based on Systematic 'omics' Data Mining.	10.1371/journal.pone.0168812	PloS one	PLoS One	1932-6203	2016-01-01	19.5
23579327	null	Association of 1H-MR spectroscopy and cerebrospinal fluid biomarkers in Alzheimer's disease: diverging behavior at three different brain regions.	10.3233/JAD-120778	Journal of Alzheimer's disease : JAD	J Alzheimers Dis	1875-8908	2013-01-01	None
28993311	PMC5665458	Central and peripheral circadian clocks and their role in Alzheimer's disease.	10.1242/dmm.030627	Disease models & mechanisms	Dis Model Mech	1754-8411	2017-10-01	7.6
32626959	PMC7339647	Long non-coding RNA ANRIL knockdown suppresses apoptosis and pro-inflammatory cytokines while enhancing neurite outgrowth via binding microRNA-125a in a cellular model of Alzheimer's disease.	10.3892/mmr.2020.11203	Molecular medicine reports	Mol Med Rep	1791-3004	2020-08-01	None
33513818	PMC7865722	Blood-Brain Barrier Disruption Increases Amyloid-Related Pathology in TgSwDI Mice.	10.3390/ijms22031231	International journal of molecular sciences	Int J Mol Sci	1422-0067	2021-01-27	10
33921772	PMC8073639	Comparative Analysis of the Microbiome across the Gut-Skin Axis in Atopic Dermatitis.	10.3390/ijms22084228	International journal of molecular sciences	Int J Mol Sci	1422-0067	2021-04-19	11.75
20037584	PMC2809046	CD36 ligands promote sterile inflammation through assembly of a Toll-like receptor 4 and 6 heterodimer.	10.1038/ni.1836	Nature immunology	Nat Immunol	1529-2916	2010-02-01	7
24750033	null	Endogenous polyamines reduce the toxicity of soluble aβ peptide aggregates associated with Alzheimer's disease.	10.1021/bm401874j	Biomacromolecules	Biomacromolecules	1526-4602	2014-06-09	None
33925080	PMC8125678	Blood-Brain Barrier and Neurovascular Unit In Vitro Models for Studying Mitochondria-Driven Molecular Mechanisms of Neurodegeneration.	10.3390/ijms22094661	International journal of molecular sciences	Int J Mol Sci	1422-0067	2021-04-28	7
9371838	PMC24301	Two amyloid precursor protein transgenic mouse models with Alzheimer disease-like pathology.	10.1073/pnas.94.24.13287	Proceedings of the National Academy of Sciences of the United States of America	Proc Natl Acad Sci U S A	0027-8424	1997-11-25	9
26852943	PMC5441128	Oral Triphenylmethane Food Dye Analog, Brilliant Blue G, Prevents Neuronal Loss in APPSwDI/NOS2-/- Mouse Model.	None	Current Alzheimer research	Curr Alzheimer Res	1875-5828	2016-01-01	14
32435185	PMC7218053	Neuroprotective Effects of Diabetes Drugs for the Treatment of Neonatal Hypoxia-Ischemia Encephalopathy.	10.3389/fncel.2020.00112	Frontiers in cellular neuroscience	Front Cell Neurosci	1662-5102	2020-01-01	4.2
24958194	PMC4175176	Nonsense mutation in PRNP associated with clinical Alzheimer's disease.	10.1016/j.neurobiolaging.2014.05.013	Neurobiology of aging	Neurobiol Aging	1558-1497	2014-11-01	1.5
23870038	PMC3733687	A network-based approach for predicting key enzymes explaining metabolite abundance alterations in a disease phenotype.	10.1186/1752-0509-7-62	BMC systems biology	BMC Syst Biol	1752-0509	2013-07-19	0.75
34039354	PMC8157406	The m<sup>6</sup>A epitranscriptome on neural development and degeneration.	10.1186/s12929-021-00734-6	Journal of biomedical science	J Biomed Sci	1423-0127	2021-05-27	0.25
23719224	null	Yuzu extract prevents cognitive decline and impaired glucose homeostasis in β-amyloid-infused rats.	10.3945/jn.112.173401	The Journal of nutrition	J Nutr	1541-6100	2013-07-01	1.25
22442439	PMC3317529	No consistent evidence for association between mtDNA variants and Alzheimer disease.	10.1212/WNL.0b013e31824e8f1d	Neurology	Neurology	1526-632X	2012-04-03	6.5
28482642	PMC5581403	Extracellular Tau Oligomers Induce Invasion of Endogenous Tau into the Somatodendritic Compartment and Axonal Transport Dysfunction.	10.3233/JAD-170168	Journal of Alzheimer's disease : JAD	J Alzheimers Dis	1875-8908	2017-01-01	28
31831047	PMC6909474	ABCA7 polymorphisms correlate with memory impairment and default mode network in patients with APOEε4-associated Alzheimer's disease.	10.1186/s13195-019-0563-3	Alzheimer's research & therapy	Alzheimers Res Ther	1758-9193	2019-12-12	9.75
28269772	PMC5389048	Recent Progress in Alzheimer's Disease Research, Part 3: Diagnosis and Treatment.	10.3233/JAD-160907	Journal of Alzheimer's disease : JAD	J Alzheimers Dis	1875-8908	2017-01-01	15.6
33128835	PMC7681056	Regulatory feedback cycle of the insulin-degrading enzyme and the amyloid precursor protein intracellular domain: Implications for Alzheimer's disease.	10.1111/acel.13264	Aging cell	Aging Cell	1474-9726	2020-11-01	10.6
31877583	PMC7010588	Intermittent hypoxia improves cognition and reduces anxiety-related behavior in APP/PS1 mice.	10.1002/brb3.1513	Brain and behavior	Brain Behav	2162-3279	2020-02-01	9.5
23608917	PMC3777294	Whole-exome sequencing and imaging genetics identify functional variants for rate of change in hippocampal volume in mild cognitive impairment.	10.1038/mp.2013.24	Molecular psychiatry	Mol Psychiatry	1476-5578	2013-07-01	2.5
25025038	PMC4084682	Dipeptidyl peptidase 10 (DPP10(789)): a voltage gated potassium channel associated protein is abnormally expressed in Alzheimer's and other neurodegenerative diseases.	10.1155/2014/209398	BioMed research international	Biomed Res Int	2314-6141	2014-01-01	1
29718780	PMC6101676	Isoprenoids and protein prenylation: implications in the pathogenesis and therapeutic intervention of Alzheimer's disease.	10.1080/10409238.2018.1458070	Critical reviews in biochemistry and molecular biology	Crit Rev Biochem Mol Biol	1549-7798	2018-06-01	7
31719824	PMC6826475	Family C G-Protein-Coupled Receptors in Alzheimer's Disease and Therapeutic Implications.	10.3389/fphar.2019.01282	Frontiers in pharmacology	Front Pharmacol	1663-9812	2019-01-01	13.95
30337152	PMC6454538	Altered bile acid profile in mild cognitive impairment and Alzheimer's disease: Relationship to neuroimaging and CSF biomarkers.	10.1016/j.jalz.2018.08.012	Alzheimer's & dementia : the journal of the Alzheimer's Association	Alzheimers Dement	1552-5279	2019-02-01	13.5
10466898	null	Familial Alzheimer disease: changes in Abeta production may indicate a disturbance in protein transport or function caused by pleiotropic effects of FAD mutations.	10.1016/s0197-4580(99)00011-1	Neurobiology of aging	Neurobiol Aging	0197-4580	1999-01-01	None
31736704	PMC6838008	White Matter Language Pathways and Language Performance in Healthy Adults Across Ages.	10.3389/fnins.2019.01185	Frontiers in neuroscience	Front Neurosci	1662-4548	2019-01-01	5.1
29722804	null	Hippocampal Radial Glial Subtypes and Their Neurogenic Potential in Human Fetuses and Healthy and Alzheimer's Disease Adults.	10.1093/cercor/bhy096	Cerebral cortex (New York, N.Y. : 1991)	Cereb Cortex	1460-2199	2018-07-01	15.1
20815785	PMC3675897	Protein oxidative modifications in the ageing brain: consequence for the onset of neurodegenerative disease.	10.3109/10715762.2010.512040	Free radical research	Free Radic Res	1029-2470	2011-01-01	None
21305049	PMC3030599	HPRT deficiency coordinately dysregulates canonical Wnt and presenilin-1 signaling: a neuro-developmental regulatory role for a housekeeping gene?	10.1371/journal.pone.0016572	PloS one	PLoS One	1932-6203	2011-01-28	3
20704561	PMC3164283	The ATP-binding cassette transporter-2 (ABCA2) increases endogenous amyloid precursor protein expression and Aβ fragment generation.	10.2174/156720510793499002	Current Alzheimer research	Curr Alzheimer Res	1875-5828	2010-11-01	None
7616230	null	Phosphatase activity toward abnormally phosphorylated tau: decrease in Alzheimer disease brain.	10.1046/j.1471-4159.1995.65020732.x	Journal of neurochemistry	J Neurochem	0022-3042	1995-08-01	6
22832907	PMC3337069	Antihypertensives for combating dementia? A perspective on candidate molecular mechanisms and population-based prevention.	10.1038/tp.2012.28	Translational psychiatry	Transl Psychiatry	2158-3188	2012-04-24	4.5
19076459	PMC2605644	Mitochondrial approaches for neuroprotection.	10.1196/annals.1427.027	Annals of the New York Academy of Sciences	Ann N Y Acad Sci	1749-6632	2008-12-01	7
26351920	null	What can lipidomics tell us about the pathogenesis of Alzheimer disease?	10.1515/hsz-2015-0207	Biological chemistry	Biol Chem	1437-4315	2015-12-01	0.25
32184914	PMC7063194	CIRBP Ameliorates Neuronal Amyloid Toxicity via Antioxidative and Antiapoptotic Pathways in Primary Cortical Neurons.	10.1155/2020/2786139	Oxidative medicine and cellular longevity	Oxid Med Cell Longev	1942-0994	2020-01-01	7
25658633	PMC4380294	Clinical and neuroimaging biomarkers of amyloid-negative logopenic primary progressive aphasia.	10.1016/j.bandl.2015.01.009	Brain and language	Brain Lang	1090-2155	2015-03-01	1
31237881	PMC6592593	Abelmoschus esculentus subfractions attenuate beta amyloid-induced neuron apoptosis by regulating DPP-4 with improving insulin resistance signals.	10.1371/journal.pone.0217400	PloS one	PLoS One	1932-6203	2019-01-01	7
19833411	PMC2888747	Mechanisms underlying basal and learning-related intrinsic excitability in a mouse model of Alzheimer's disease.	10.1016/j.neurobiolaging.2009.09.003	Neurobiology of aging	Neurobiol Aging	1558-1497	2011-08-01	None
24559670	PMC3983361	ApoE and Aβ in Alzheimer's disease: accidental encounters or partners?	10.1016/j.neuron.2014.01.045	Neuron	Neuron	1097-4199	2014-02-19	13.6
23482655	PMC3584671	Alternative Approaches in Gene Discovery and Characterization in Alzheimer's Disease.	10.1007/s40142-013-0007-5	Current genetic medicine reports	Curr Genet Med Rep	2167-4876	2013-03-01	None
21236314	PMC3044604	Disease specificity and pathologic progression of tau pathology in brainstem nuclei of Alzheimer's disease and progressive supranuclear palsy.	10.1016/j.neulet.2011.01.020	Neuroscience letters	Neurosci Lett	1872-7972	2011-03-17	None
25618528	PMC4366542	Physiological and pathophysiological functions of cell cycle proteins in post-mitotic neurons: implications for Alzheimer's disease.	10.1007/s00401-015-1382-7	Acta neuropathologica	Acta Neuropathol	1432-0533	2015-04-01	None
19668025	PMC4406227	Is ApoE epsilon4 associated with cognitive functioning in African Americans diagnosed with Alzheimer Disease? An exploratory study.	10.1097/SMJ.0b013e3181b21b82	Southern medical journal	South Med J	1541-8243	2009-09-01	None
32089232	null	LW-AFC, a new formula from the traditional Chinese medicine Liuwei Dihuang decoction, as a promising therapy for Alzheimer's disease: Pharmacological effects and mechanisms.	10.1016/bs.apha.2019.10.005	Advances in pharmacology (San Diego, Calif.)	Adv Pharmacol	1557-8925	2020-01-01	0.25
26837733	PMC4846520	APP Receptor? To Be or Not To Be.	10.1016/j.tips.2016.01.005	Trends in pharmacological sciences	Trends Pharmacol Sci	1873-3735	2016-05-01	21.2
31667556	PMC7190606	Mechanisms of secretion and spreading of pathological tau protein.	10.1007/s00018-019-03349-1	Cellular and molecular life sciences : CMLS	Cell Mol Life Sci	1420-9071	2020-05-01	9.25
29946323	PMC6005900	Dissociation of C-Reactive Protein Localizes and Amplifies Inflammation: Evidence for a Direct Biological Role of C-Reactive Protein and Its Conformational Changes.	10.3389/fimmu.2018.01351	Frontiers in immunology	Front Immunol	1664-3224	2018-01-01	None
24634659	PMC3942876	Cannabinoids for treatment of Alzheimer's disease: moving toward the clinic.	10.3389/fphar.2014.00037	Frontiers in pharmacology	Front Pharmacol	1663-9812	2014-01-01	83.30000000000001
22091726	null	Targeting post-translational modifications on tau as a therapeutic strategy for Alzheimer's disease.	10.3109/01677063.2011.626471	Journal of neurogenetics	J Neurogenet	1563-5260	2011-12-01	3.25
11920850	null	ApoE epsilon3-haplotype modulates Alzheimer beta-amyloid deposition in the brain.	10.1002/ajmg.10202	American journal of medical genetics	Am J Med Genet	0148-7299	2002-04-08	3.25
29681904	PMC5897444	Brain-Resident Microglia and Blood-Borne Macrophages Orchestrate Central Nervous System Inflammation in Neurodegenerative Disorders and Brain Cancer.	10.3389/fimmu.2018.00697	Frontiers in immunology	Front Immunol	1664-3224	2018-01-01	27.05
25273678	null	ABCB1 C3435T polymorphism influences the risk for Alzheimer's disease.	10.1007/s12031-014-0427-z	Journal of molecular neuroscience : MN	J Mol Neurosci	1559-1166	2014-12-01	0.25
32986108	PMC7522696	Differential Associations of Apolipoprotein E ε4 Genotype With Attentional Abilities Across the Life Span of Individuals With Down Syndrome.	10.1001/jamanetworkopen.2020.18221	JAMA network open	JAMA Netw Open	2574-3805	2020-09-01	26.549999999999997
24847962	null	The polymorphism of ARNTL2 (BMAL2) gene rs2306074 C>T is associated with susceptibility of Alzheimer disease in Chinese population.	10.1007/s10072-014-1824-3	Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology	Neurol Sci	1590-3478	2014-11-01	None
22649630	PMC3347543	Calcium signaling and neurodegeneration.	None	Acta naturae	Acta Naturae	2075-8251	2010-04-01	1
28893250	PMC5594454	Association between dietary patterns and cognitive function among 70-year-old Japanese elderly: a cross-sectional analysis of the SONIC study.	10.1186/s12937-017-0273-2	Nutrition journal	Nutr J	1475-2891	2017-09-11	2.5
31177216	PMC7297195	Neurofibrillary Tangles and Conversion to Mild Cognitive Impairment with Certain Antihypertensives.	10.3233/JAD-190011	Journal of Alzheimer's disease : JAD	J Alzheimers Dis	1875-8908	2019-01-01	12.35
33230600	PMC7682773	Pathological angiogenesis and inflammation in tissues.	10.1007/s12272-020-01287-2	Archives of pharmacal research	Arch Pharm Res	0253-6269	2021-01-01	None
25206742	PMC4146324	Dab2 attenuates brain injury in APP/PS1 mice via targeting transforming growth factor-beta/SMAD signaling.	10.4103/1673-5374.125328	Neural regeneration research	Neural Regen Res	1673-5374	2014-01-01	0.25
24381967	PMC4109898	Effect of vitamin E and memantine on functional decline in Alzheimer disease: the TEAM-AD VA cooperative randomized trial.	10.1001/jama.2013.282834	JAMA	JAMA	1538-3598	2014-01-01	824.4339999999999
26639974	PMC4927817	Platelet Membrane β-Secretase Activity in Mild Cognitive Impairment and Conversion to Dementia: a Longitudinal Study.	10.3233/JAD-150795	Journal of Alzheimer's disease : JAD	J Alzheimers Dis	1875-8908	2016-01-01	7
21684527	PMC3162096	Rare copy number deletions predict individual variation in human brain metabolite concentrations in individuals with alcohol use disorders.	10.1016/j.biopsych.2011.04.019	Biological psychiatry	Biol Psychiatry	1873-2402	2011-09-15	None
32751738	PMC7432889	Aquilariae Lignum Methylene Chloride Fraction Attenuates IL-1β-Driven Neuroinflammation in BV2 Microglial Cells.	10.3390/ijms21155465	International journal of molecular sciences	Int J Mol Sci	1422-0067	2020-07-30	None
25073452	PMC4150901	Associations between APOE and low-density lipoprotein cholesterol genotypes and cognitive and physical capability: the HALCyon programme.	10.1007/s11357-014-9673-9	Age (Dordrecht, Netherlands)	Age (Dordr)	1574-4647	2014-01-01	1
34020725	PMC8147512	Genome-wide analysis identifies a novel LINC-PINT splice variant associated with vascular amyloid pathology in Alzheimer's disease.	10.1186/s40478-021-01199-2	Acta neuropathologica communications	Acta Neuropathol Commun	2051-5960	2021-05-21	18.549999999999997
27321608	PMC4916855	Cognitive and Neural Effects of Vision-Based Speed-of-Processing Training in Older Adults with Amnestic Mild Cognitive Impairment: A Pilot Study.	10.1111/jgs.14132	Journal of the American Geriatrics Society	J Am Geriatr Soc	1532-5415	2016-06-01	40.5
29752551	PMC6015098	Tau seeding activity begins in the transentorhinal/entorhinal regions and anticipates phospho-tau pathology in Alzheimer's disease and PART.	10.1007/s00401-018-1855-6	Acta neuropathologica	Acta Neuropathol	1432-0533	2018-07-01	26.799999999999997
29662056	PMC5902554	Neuronal SphK1 acetylates COX2 and contributes to pathogenesis in a model of Alzheimer's Disease.	10.1038/s41467-018-03674-2	Nature communications	Nat Commun	2041-1723	2018-04-16	18.25
25137638	null	Dual effects of familial Alzheimer's disease mutations (D7H, D7N, and H6R) on amyloid β peptide: correlation dynamics and zinc binding.	10.1002/prot.24669	Proteins	Proteins	1097-0134	2014-12-01	1.5
23953275	PMC3978621	Regulation of distinct pools of amyloid β-protein by multiple cellular proteases.	10.1186/alzrt194	Alzheimer's research & therapy	Alzheimers Res Ther	1758-9193	2013-01-01	0.5
30687223	PMC6333664	Genetic Analysis of <i>PICK1</i> Gene in Alzheimer's Disease: A Study for Finding a New Gene Target.	10.3389/fneur.2018.01169	Frontiers in neurology	Front Neurol	1664-2295	2018-01-01	10.5
32180703	PMC7059763	TDP-43: From Alzheimer's Disease to Limbic-Predominant Age-Related TDP-43 Encephalopathy.	10.3389/fnmol.2020.00026	Frontiers in molecular neuroscience	Front Mol Neurosci	1662-5099	2020-01-01	11.25
21203512	PMC3008726	Amyloid-β inhibits No-cGMP signaling in a CD36- and CD47-dependent manner.	10.1371/journal.pone.0015686	PloS one	PLoS One	1932-6203	2010-12-22	None
24655894	PMC3997966	IVIg protects the 3xTg-AD mouse model of Alzheimer's disease from memory deficit and Aβ pathology.	10.1186/1742-2094-11-54	Journal of neuroinflammation	J Neuroinflammation	1742-2094	2014-03-22	0.5
26902204	PMC4818756	Therapeutic correction of ApoER2 splicing in Alzheimer's disease mice using antisense oligonucleotides.	10.15252/emmm.201505846	EMBO molecular medicine	EMBO Mol Med	1757-4684	2016-04-01	19.5
23730261	PMC3520047	Pyruvate Dehydrogenase Kinases in the Nervous System: Their Principal Functions in Neuronal-glial Metabolic Interaction and Neuro-metabolic Disorders.	10.2174/157015912804143586	Current neuropharmacology	Curr Neuropharmacol	1570-159X	2012-12-01	3.5
27589732	PMC5037717	PMEL Amyloid Fibril Formation: The Bright Steps of Pigmentation.	10.3390/ijms17091438	International journal of molecular sciences	Int J Mol Sci	1422-0067	2016-08-31	0.25
23414597	PMC3614544	Role of p73 in Alzheimer disease: lack of association in mouse models or in human cohorts.	10.1186/1750-1326-8-10	Molecular neurodegeneration	Mol Neurodegener	1750-1326	2013-02-15	1.25
30533414	PMC6265475	Is Alzheimer's Also a Stem Cell Disease? - The Zebrafish Perspective.	10.3389/fcell.2018.00159	Frontiers in cell and developmental biology	Front Cell Dev Biol	2296-634X	2018-01-01	36.43
24565469	PMC3936399	Early-onset dementias: diagnostic and etiological considerations.	10.1186/alzrt197	Alzheimer's research & therapy	Alzheimers Res Ther	1758-9193	2013-07-31	1.25
29238071	PMC5864187	APP upregulation contributes to retinal ganglion cell degeneration via JNK3.	10.1038/s41418-017-0005-3	Cell death and differentiation	Cell Death Differ	1476-5403	2018-03-01	0.5
26781037	PMC4783343	High dietary advanced glycation end products are associated with poorer spatial learning and accelerated Aβ deposition in an Alzheimer mouse model.	10.1111/acel.12436	Aging cell	Aging Cell	1474-9726	2016-04-01	22.6
25774133	PMC4343016	Circadian clock disruption in neurodegenerative diseases: cause and effect?	10.3389/fphar.2015.00029	Frontiers in pharmacology	Front Pharmacol	1663-9812	2015-01-01	18.549999999999997
25228858	PMC4151093	Gap junctions and hemichannels composed of connexins: potential therapeutic targets for neurodegenerative diseases.	10.3389/fncel.2014.00189	Frontiers in cellular neuroscience	Front Cell Neurosci	1662-5102	2014-01-01	None
32180081	PMC7113202	Consensus statement from 2<sup>nd</sup> International Conference on Controversies in Vitamin D.	10.1007/s11154-019-09532-w	Reviews in endocrine & metabolic disorders	Rev Endocr Metab Disord	1573-2606	2020-03-01	71.85000000000001
22817711	PMC5967400	Potential neuroprotective strategies against tauopathy.	10.1042/BST20120017	Biochemical Society transactions	Biochem Soc Trans	1470-8752	2012-08-01	None
28151408	PMC5312009	Drosophila and genome-wide association studies: a review and resource for the functional dissection of human complex traits.	10.1242/dmm.027680	Disease models & mechanisms	Dis Model Mech	1754-8411	2017-02-01	5.75
19793392	PMC2765959	The COMT Val158 Met polymorphism as an associated risk factor for Alzheimer disease and mild cognitive impairment in APOE 4 carriers.	10.1186/1471-2202-10-125	BMC neuroscience	BMC Neurosci	1471-2202	2009-09-30	0.25
31411808	PMC7053239	D-Ser2-oxyntomodulin ameliorated Aβ31-35-induced circadian rhythm disorder in mice.	10.1111/cns.13211	CNS neuroscience & therapeutics	CNS Neurosci Ther	1755-5949	2020-03-01	10
26059363	PMC4462342	Proteome-wide characterization of signalling interactions in the hippocampal CA4/DG subfield of patients with Alzheimer's disease.	10.1038/srep11138	Scientific reports	Sci Rep	2045-2322	2015-06-10	10.6
25938132	PMC4412027	Subjective memory complaints, cortical thinning, and cognitive dysfunction in middle-aged adults at risk for AD.	10.1016/j.dadm.2014.11.010	Alzheimer's & dementia (Amsterdam, Netherlands)	Alzheimers Dement (Amst)	2352-8729	2015-03-01	10.25
33329577	PMC7719741	Potential Role of Phosphoglycerol Dihydroceramide Produced by Periodontal Pathogen <i>Porphyromonas gingivalis</i> in the Pathogenesis of Alzheimer's Disease.	10.3389/fimmu.2020.591571	Frontiers in immunology	Front Immunol	1664-3224	2020-01-01	7
9756330	null	The -491A/T apolipoprotein E promoter polymorphism association with Alzheimer's disease: independent risk and linkage disequilibrium with the known APOE polymorphism.	10.1016/s0304-3940(98)00567-9	Neuroscience letters	Neurosci Lett	0304-3940	1998-08-14	None
25666182	PMC4366547	Isoglutaminyl cyclase contributes to CCL2-driven neuroinflammation in Alzheimer's disease.	10.1007/s00401-015-1395-2	Acta neuropathologica	Acta Neuropathol	1432-0533	2015-04-01	21.75
31653061	PMC6862262	Prolactin-Releasing Peptide: Physiological and Pharmacological Properties.	10.3390/ijms20215297	International journal of molecular sciences	Int J Mol Sci	1422-0067	2019-10-24	0.75
33419465	PMC7792349	Associations of Alzheimer's disease risk variants with gene expression, amyloidosis, tauopathy, and neurodegeneration.	10.1186/s13195-020-00755-7	Alzheimer's research & therapy	Alzheimers Res Ther	1758-9193	2021-01-08	9.5
16078048	null	Maternal lineages and Alzheimer disease risk in the Old Order Amish.	10.1007/s00439-005-0032-x	Human genetics	Hum Genet	0340-6717	2005-10-01	None
27775040	PMC5075930	REAC technology modifies pathological neuroinflammation and motor behaviour in an Alzheimer's disease mouse model.	10.1038/srep35719	Scientific reports	Sci Rep	2045-2322	2016-10-24	7
25630717	null	Neuroprotective effect of hesperidin on aluminium chloride induced Alzheimer's disease in Wistar rats.	10.1007/s11064-015-1525-1	Neurochemical research	Neurochem Res	1573-6903	2015-04-01	10.030000000000001
28804008	null	PERK as a hub of multiple pathogenic pathways leading to memory deficits and neurodegeneration in Alzheimer's disease.	10.1016/j.brainresbull.2017.08.007	Brain research bulletin	Brain Res Bull	1873-2747	2018-07-01	0.25
10097173	PMC22430	Unusual phenotypic alteration of beta amyloid precursor protein (betaAPP) maturation by a new Val-715 --> Met betaAPP-770 mutation responsible for probable early-onset Alzheimer's disease.	10.1073/pnas.96.7.4119	Proceedings of the National Academy of Sciences of the United States of America	Proc Natl Acad Sci U S A	0027-8424	1999-03-30	3
28745649	PMC5612547	High-resolution Melting PCR for Complement Receptor 1 Length Polymorphism Genotyping: An Innovative Tool for Alzheimer's Disease Gene Susceptibility Assessment.	10.3791/56012	Journal of visualized experiments : JoVE	J Vis Exp	1940-087X	2017-07-18	1
29682502	PMC5897435	Frontiers of Complex Disease Mechanisms: Membrane Surface Tension May Link Genotype to Phenotype in Glaucoma.	10.3389/fcell.2018.00032	Frontiers in cell and developmental biology	Front Cell Dev Biol	2296-634X	2018-01-01	1.35
33532505	PMC7837790	Aluminum-Induced Alterations in Purinergic System Parameters of BV-2 Brain Microglial Cells.	10.1155/2021/2695490	Journal of immunology research	J Immunol Res	2314-7156	2021-01-01	1
25342943	PMC4207075	Calcium-Sensing Receptors of Human Astrocyte-Neuron Teams: Amyloid-β-Driven Mediators and Therapeutic Targets of Alzheimer's Disease.	10.2174/1570159X12666140828214701	Current neuropharmacology	Curr Neuropharmacol	1570-159X	2014-07-01	None
